faiss_id,passage_id
338,bb_2858::r314::c2
339,bb_2858::r314::c3
340,bb_2858::r314::c4
341,bb_2858::r314::c5
342,bb_2858::r314::c6
343,bb_2858::r314::c7
344,bb_2858::r314::c8
345,bb_2858::r314::c9
346,bb_2863::r361::c0
347,bb_2863::r361::c1
348,bb_2863::r361::c10
349,bb_2863::r361::c11
350,bb_2863::r361::c12
351,bb_2863::r361::c13
352,bb_2863::r361::c2
353,bb_2863::r361::c3
354,bb_2863::r361::c4
355,bb_2863::r361::c5
356,bb_2863::r361::c6
357,bb_2863::r361::c7
358,bb_2863::r361::c8
359,bb_2863::r361::c9
360,bb_3778::r201::c0
361,bb_3778::r201::c1
362,bb_3778::r201::c2
363,bb_3778::r201::c3
364,bb_4020::r59::c0
365,bb_4020::r59::c1
366,bb_4028::r23::c0
367,bb_4028::r23::c1
368,bb_4028::r23::c2
369,bb_4028::r23::c3
370,bb_4028::r23::c4
371,bb_4028::r23::c5
372,bb_4028::r23::c6
373,bb_4028::r23::c7
374,bb_403::r32::c0
375,bb_403::r32::c1
376,bb_403::r32::c10
377,bb_403::r32::c11
378,bb_403::r32::c12
379,bb_403::r32::c13
380,bb_403::r32::c14
381,bb_403::r32::c15
382,bb_403::r32::c16
383,bb_403::r32::c17
384,bb_403::r32::c18
385,bb_403::r32::c19
386,bb_403::r32::c2
387,bb_403::r32::c20
388,bb_403::r32::c21
389,bb_403::r32::c3
390,bb_403::r32::c4
391,bb_403::r32::c5
392,bb_403::r32::c6
393,bb_403::r32::c7
394,bb_403::r32::c8
395,bb_403::r32::c9
396,bb_4195::r83::c0
397,bb_4195::r83::c1
398,bb_4195::r83::c2
399,bb_4195::r83::c3
400,bb_4195::r83::c4
401,bb_4319::r208::c0
402,bb_4319::r208::c1
403,bb_4319::r208::c10
404,bb_4319::r208::c11
405,bb_4319::r208::c12
406,bb_4319::r208::c2
407,bb_4319::r208::c3
408,bb_4319::r208::c4
409,bb_4319::r208::c5
410,bb_4319::r208::c6
411,bb_4319::r208::c7
412,bb_4319::r208::c8
413,bb_4319::r208::c9
414,bb_4368::r225::c0
415,bb_4368::r225::c1
416,bb_4368::r225::c10
417,bb_4368::r225::c11
418,bb_4368::r225::c12
419,bb_4368::r225::c13
420,bb_4368::r225::c14
421,bb_4368::r225::c15
422,bb_4368::r225::c16
423,bb_4368::r225::c17
424,bb_4368::r225::c18
425,bb_4368::r225::c19
426,bb_4368::r225::c2
427,bb_4368::r225::c20
428,bb_4368::r225::c21
429,bb_4368::r225::c22
430,bb_4368::r225::c23
431,bb_4368::r225::c24
432,bb_4368::r225::c25
433,bb_4368::r225::c26
434,bb_4368::r225::c27
435,bb_4368::r225::c28
436,bb_4368::r225::c29
437,bb_4368::r225::c3
438,bb_4368::r225::c30
439,bb_4368::r225::c31
440,bb_4368::r225::c32
441,bb_4368::r225::c33
442,bb_4368::r225::c34
443,bb_4368::r225::c4
444,bb_4368::r225::c5
445,bb_4368::r225::c6
446,bb_4368::r225::c7
447,bb_4368::r225::c8
448,bb_4368::r225::c9
449,bb_4656::r424::c0
450,bb_4656::r424::c1
451,bb_4656::r424::c2
452,bb_4656::r424::c3
453,bb_4705::r144::c0
454,bb_4705::r144::c1
455,bb_4705::r144::c10
456,bb_4705::r144::c11
